Year,Artist,Winner,Nominated
1997,P Diddy,1,1
1997,Mase,0,1
1997,The Notorious B.I.G.,0,1
1997,MC Lyte,0,1
1998,Mase,1,1
1998,Busta Rhymes,0,1
1998,Wyclef Jean,0,1
1998,P Diddy,0,1
1999,Jay-Z,1,1
1999,Busta Rhymes,0,1
1999,JT Money,0,1
1999,Solé,0,1
2001,Lil Romeo,1,1
2001,City High,0,1
2001,Bow Wow,0,1
2001,Outkast,0,1
2002,Nelly,1,1
2002,Fat Joe,0,1
2002,Ludacris,0,1
2002,Ja Rule,0,1
2003,50 Cent,1,1
2003,Chingy,0,1
2003,Fabolous,0,1
2003,Sean Paul,0,1
2004,Kanye West,1,1
2004,Jay-Z,0,1
2004,Ludacris,0,1
2004,Twista,0,1
2005,50 Cent,1,1
2005,Ludacris,0,1
2005,T.I.,0,1
2005,The Game,0,1
2006,T.I.,1,1
2006,Sean Paul,0,1
2006,Yung Joc,0,1
2011,Eminem,1,1
2011,Drake,0,1
2011,Lil Wayne,0,1
2011,Ludacris,0,1
2011,Nicki Minaj,0,1
2012,Lil Wayne,1,1
2012,Wiz Khalifa,0,1
2012,Nicki Minaj,0,1
2012,Drake,0,1
2012,LMFAO,0,1
2013,Nicki Minaj,1,1
2013,Drake,0,1
2013,Flo Rida,0,1
2013,Pitbull,0,1
2013,Psy,0,1
2014,Eminem,1,1
2014,Drake,0,1
2014,Jay-Z,0,1
2014,Macklemore & Ryan Lewis,0,1
2014,Pitbull,0,1
2015,Iggy Azalea,1,1
2015,J. Cole,0,1
2015,Drake,0,1
2015,Nicki Minaj,0,1
2015,Rae Sremmurd,0,1
2016,Drake,1,1
2016,Fetty Wap,0,1
2016,Future,0,1
2016,Wiz Khalifa,0,1
2016,Silentó,0,1
2017,Drake,1,1
2017,Desiigner,0,1
2017,Future,0,1
2017,J. Cole,0,1
2017,Rae Sremmurd,0,1
2018,Kendrick Lamar,1,1
2018,Drake,0,1
2018,Lil Uzi Vert,0,1
2018,Migos,0,1
2018,Post Malone,0,1
2019,Drake,1,1
2019,Cardi B,0,1
2019,Juice Wrld,0,1
2019,Post Malone,0,1
2019,Travis Scott,0,1
2020,Post Malone,1,1
2020,DaBaby,0,1
2020,Juice Wrld,0,1
2020,Lil Nas X,0,1
2020,Roddy Ricch,0,1
2021,Pop Smoke,1,1
2021,DaBaby,0,1
2021,Drake,0,1
2021,Juice Wrld,0,1
2021,Lil Baby,0,1
