artist	lyrical_rank	recalc	wins	noms	win_rate
Aesop Rock	1	7879	0	0	0
Busdriver	2	7324	0	0	0
Jedi Mind Tricks	3	6424	0	0	0
GZA	4	6390	0	0	0
Wu-Tang Clan	5	6196	0	0	0
MF DOOM	6	6169	0	0	0
RZA	7	6018	0	0	0
Immortal Technique	8	5930	0	0	0
Canibus	9	5915	0	0	0
Ghostface Killah	10	5901	0	0	0
Del The Funky Homosapien	11	5845	0	0	0
The Roots	12	5781	3	8	0.38
Blackalicious	13	5741	0	0	0
Jean Grae	14	5738	0	0	0
Killah Priest	15	5704	0	0	0
Kool Keith	16	5566	0	0	0
Kool G Rap	17	5554	0	0	0
CunninLynguists	18	5496	0	0	0
Sage Francis	19	5443	0	0	0
Raekwon	20	5428	0	0	0
Watsky	21	5413	0	0	0
Action Bronson	22	5233	0	0	0
Redman	23	5196	2	2	1
Das EFX	24	5178	0	0	0
Common	25	5138	2	10	0.2
K.A.A.N.	26	5107	0	0	0
E-40	27	5004	0	0	0
Goodie Mob	28	4980	0	0	0
Nas	29	4977	12	17	0.71
Brother Ali	30	4928	0	0	0
Method Man	31	4910	1	1	1
Flatbush Zombies	32	4879	0	0	0
Joey Badass	33	4871	0	0	0
A Tribe Called Quest	34	4838	0	0	0
Mos Def	35	4827	0	0	0
De La Soul	36	4812	1	2	0.5
Xzibit	37	4787	0	0	0
Murs	38	4772	0	0	0
Rittz	39	4757	0	0	0
Atmosphere	40	4730	0	0	0
Talib Kweli	41	4678	0	0	0
Big Daddy Kane	42	4655	1	1	1
Lupe Fiasco	43	4645	1	5	0.2
Cypress Hill	44	4644	0	1	0
LL Cool J	45	4638	2	4	0.5
Beastie Boys	46	4632	3	3	1
Fat Joe	47	4626	0	2	0
K-Rino	48	4620	0	0	0
Busta Rhymes	49	4613	0	2	0
Gang Starr	50	4598	0	0	0
Mac Dre	51	4577	0	0	0
Ludacris	52	4572	3	11	0.27
KRS-One	53	4571	0	0	0
OutKast	54	4545	6	9	0.67
Brand Nubian	55	4542	0	0	0
Ab-Soul	56	4534	0	0	0
Joe Budden	57	4523	0	1	0
Twista	58	4522	0	3	0
Eminem	59	4480	17	22	0.77
Tyler, The Creator	60	4431	0	1	0
Denzel Curry	61	4426	0	0	0
Biz Markie	62	4423	0	0	0
AsAP Rocky	63	4414	0	0	0
Tech N9ne	64	4406	0	0	0
"Royce da 5'9"""	65	4392	0	0	0
SUICIDEBOYS	66	4374	0	0	0
Geto Boys	67	4364	0	0	0
Danny Brown	68	4361	0	0	0
Ice Cube	69	4338	0	0	0
Ice-T	70	4334	0	0	0
Diddy	71	4323	0	0	0
Kevin Gates	72	4318	0	0	0
Rakim	73	4301	0	0	0
Death Grips	74	4282	0	0	0
JAY-Z	75	4275	22	45	0.49
Wale	76	4272	0	0	0
Public Enemy	77	4261	1	2	0.5
Mobb Deep	78	4243	0	0	0
Cam’ron	79	4236	0	0	0
The Game	80	4236	0	1	0
Jadakiss	81	4172	0	1	0
T.I.	82	4171	4	16	0.25
Jay Rock	83	4163	0	1	0
Lil’ Kim	84	4150	1	4	0.25
Kano	85	4144	0	0	0
ScHoolboy Q	86	4097	0	0	0
Nelly	87	4091	5	11	0.45
Kendrick Lamar	88	4017	12	21	0.57
Big L	89	4011	0	0	0
Three 6 Mafia	90	3978	0	0	0
cupcakKe	91	3965	0	0	0
Mac Miller	92	3960	0	0	0
Tyga	93	3946	0	1	0
Skyzoo	94	3931	0	0	0
BROCKHAMPTON	95	3924	0	0	0
Rick Ross	96	3907	0	2	0
Insane Clown Posse	97	3905	0	0	0
Scarface	98	3902	0	0	0
Run–D.M.C.	99	3899	0	0	0
Hopsin	100	3898	0	0	0
Vince Staples	101	3883	0	0	0
Bun B	102	3875	0	0	0
UGK	103	3869	0	0	0
Dizzee Rascal	104	3863	0	0	0
AsAP Ferg	105	3851	0	0	0
Lil B	106	3842	0	0	0
Big K.R.I.T.	107	3823	0	0	0
MC Lyte	108	3817	0	1	0
2Pac	109	3815	0	0	0
2 Chainz	110	3812	1	2	0.5
Snoop Dogg	111	3797	0	8	0
Foxy Brown	112	3782	0	0	0
Kanye West	113	3760	22	44	0.5
B.o.B	114	3748	0	0	0
Missy Elliot	115	3747	4	6	0.67
Machine Gun Kelly	116	3690	0	0	0
Lecrae	117	3687	0	0	0
Childish Gambino	118	3682	0	0	0
Juelz Santana	119	3675	0	0	0
Eve	120	3642	10	13	0.77
Nicki Minaj	121	3616	1	9	0.11
Salt-N-Pepa	122	3601	0	0	0
Master P	123	3580	0	0	0
Big Sean	124	3563	0	1	0
Trina	125	3537	2	2	1
Gucci Mane	126	3515	0	0	0
Russ	127	3491	20	28	0.71
Lil Wayne	128	3486	1	2	0.5
Jeezy	129	3486	0	0	0
G-Eazy	130	3468	0	0	0
Meek Mill	131	3454	0	0	0
Trick Daddy	132	3447	0	0	0
Juvenile	133	3442	0	0	0
J. Cole	134	3426	0	0	0
Young Thug	135	3395	1	1	1
Travis Scott	136	3392	0	6	0
50 Cent	137	3384	3	5	0.6
Drake	138	3347	7	28	0.25
Future	139	3321	0	3	0
Kid Cudi	140	3318	1	3	0.33
Logic	141	3281	0	0	0
Juicy J	142	3275	0	1	0
Bone Thugs-N-Harmony	143	3219	0	0	0
Kodak Black	144	3197	0	0	0
Migos	145	3193	0	3	0
Lil Yachty	146	3161	0	1	0
Kid Ink	147	3055	0	0	0
Wiz Khalifa	148	3048	0	8	0
YG	149	3029	0	0	0
Lil Durk	150	2988	0	0	0
21 Savage	151	2988	0	1	0
DMX	152	2936	0	0	0
Rich Homie Quan	153	2853	0	0	0
Too short	154	2778	0	0	0
Lil Baby	155	2762	0	1	0
A Boogie wit da Hoodie	156	2738	0	0	0
YoungBoy Never Broke Again	157	2724	0	0	0
Rich The Kid	158	2709	0	0	0
Lil Uzi Vert	159	2556	0	2	0
NF	160	2472	0	0	0
