artist,PC0,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
2 Chainz,-9.550225603240308e-05,6.342711730440197e-05,1.986900204874014e-05,-5.049515380684521e-05,-1.60593589520529e-06,5.7256533855537e-05,2.620676495213554e-05,3.902143311516756e-05,2.6944829105528195e-05,7.023631764219285e-05
21 Savage,-0.00013292932255899037,0.00010545489795086442,-0.0005767272132400112,-0.0003175387897734853,-0.005511488895441562,-0.002731604684867687,-0.00021400316486986786,-0.00015704812617504512,3.188275680191489e-05,-0.00012180744180120598
2Pac,-0.00010381483642158577,5.1789130453174435e-05,8.600363482479737e-05,0.00011348277945241126,2.884347783877708e-05,5.2082711565430215e-05,3.851372633393145e-05,1.582433193058398e-05,1.0693672327623088e-05,2.4984987480334898e-05
50 Cent,-7.638860562962441e-05,5.6599419254005195e-05,5.4602306138691305e-05,-3.446439512977209e-05,-8.401005645355348e-05,3.942247936049798e-06,4.717575792368952e-05,3.283478923851482e-05,2.5064964590377244e-05,2.2022540504723417e-05
A Boogie wit da Hoodie,-0.00010068660628971588,5.4628329736479616e-05,2.4686576556016007e-05,-6.408166488387646e-05,1.3935846949322772e-05,-2.697637740924063e-05,2.5112426820525574e-05,2.6645937027822454e-05,1.3615536430283332e-05,2.802563169109797e-05
A Tribe Called Quest,-0.00011190656772316675,4.3694943102720734e-05,8.146355616739166e-05,-7.456172175751502e-05,2.1280522157751698e-05,5.519986097055685e-05,6.994036060162371e-05,4.4235318760799825e-05,1.0690605168626077e-05,5.030517174516292e-05
Ab-Soul,-9.675878115486201e-05,5.824312161163209e-05,5.5326818754794315e-05,-5.115161600613082e-05,1.9180711857530404e-05,6.808349378784767e-05,3.502159782922774e-05,3.574801190489575e-05,1.9313332541853977e-05,5.502070180402552e-05
Action Bronson,-9.271891483337606e-05,4.273532161124683e-05,6.516794872875636e-05,-5.8862324451728884e-05,3.19753325036995e-05,6.138219267297462e-05,4.946143183765637e-05,3.6214282280096605e-05,2.705093656505383e-05,1.223596145194941e-05
Aesop Rock,-9.08665449947115e-05,5.013098958727651e-05,6.627061694687082e-05,-5.616718261956715e-05,2.403689306927154e-05,7.267842785792892e-05,4.345060537375602e-05,2.4217596627845797e-05,1.506495787497285e-05,5.636364296314168e-06
AsAP Ferg,-8.666999107294758e-05,6.828461502632777e-05,2.2348965316427907e-05,-7.644310681972043e-06,0.00015679801157664246,-0.000252006209450435,-0.00010429530824957099,6.396181768236776e-05,3.5392135008680595e-05,2.2966247921241164e-05
AsAP Rocky,-9.430760456401702e-05,6.041816350036839e-05,5.755092060556644e-05,-6.520576059254151e-05,2.1083599243434897e-05,3.452386440397412e-05,3.4506991821222866e-05,3.5544222642078267e-05,2.4516641508899855e-05,5.423909118223993e-05
Atmosphere,-0.0001022714392954461,4.6683859632147346e-05,7.501402909490057e-05,-5.277202962243492e-05,2.7101369716772873e-05,6.426386963501426e-05,4.378066740801989e-05,1.4813825959206695e-05,-6.205171546799177e-06,4.8929775673631485e-05
B.o.B,-0.00010831109634585969,7.178009126063556e-05,4.3032256356987786e-05,4.928371931868726e-06,1.684667104481808e-05,0.0001047731058600413,5.837472524645307e-05,9.857417962005441e-05,0.00021072995165610483,-0.0006300854019163129
BROCKHAMPTON,-9.078008548585758e-05,5.458218432438241e-05,5.600760156672808e-05,-5.4222182434673586e-05,2.2174534097291e-05,5.7641828782312784e-05,4.996566621308908e-05,3.719418825862606e-05,1.6122325250865136e-05,5.87973330295347e-05
Beastie Boys,-0.0001087523765158481,-8.611207263066764e-05,0.00012223837291945586,-7.939147703557651e-05,4.8048444235408006e-05,0.0001417875284676232,7.745931313252507e-05,9.231919500106079e-05,9.605697257333331e-05,-0.00013320767611426629
Big Daddy Kane,-0.00010601649661765871,-3.841142984215345e-05,7.704540685399173e-05,-5.5778814198036554e-05,-1.8325873773666874e-06,5.910324200467645e-05,4.9698623413426693e-05,1.6990191447199773e-05,1.5682963495129797e-05,1.3905847506323809e-05
Big K.R.I.T.,-0.00010220783905297203,4.208010656411146e-05,7.51704693779295e-05,-4.4009699108401505e-05,6.401458923594992e-05,-6.611303616994525e-06,3.228535455226089e-05,5.4808548000762125e-06,-4.56264884678472e-07,-9.919627447245933e-06
Big L,-9.021419289610293e-05,4.2349692632178985e-05,8.571525116473298e-05,-5.304013388151729e-05,3.577657419646397e-05,7.279583359351162e-05,7.128954161556223e-05,6.535362292116069e-06,1.7585454941997227e-05,5.198827351284099e-05
